,title,abstract
article01,Tracing Consumers’ Decision-Making in Digital Social Shopping Networks,"Several online businesses consider integrating social network functionalities into their online store, thus creating digital social shopping networks (DSNs). Because friends tend to be trusted or have similar interests, one often expects that shoppers will leverage their connections to simplify choice making and enhance the chances of finding well-suited products. Unfortunately, there is little evidence or theory to justify whether, when, and how this might manifest. In this research, we address this issue by developing a model of how decision-making unfolds in a DSN. The model can be used as a basis for a research program aimed at explaining why, when, and by what means online shoppers leverage their social network or cease leveraging it. We outline the key features of an empirical strategy, which involves process tracing via the use of complementary techniques: navigation recording, verbal protocol and ocular activity."
article02,Validating Knowledge Filtering Processes in Electronic Networks of Practice,"Online forums sponsored by Electronic Networks of Practice (ENPs) have become an important source of information for individuals seeking solutions to problems online. However, not all information available in a forum is helpful or accurate, requiring knowledge seekers to evaluate and filter the solutions they encounter. Most forums offer peripheral cues to help knowledge seekers make evaluation decisions, yet little is understood about the information filtering patterns people engage in when filtering information on ENP forums. This paper reports the results of a pilot fMRI study designed to elucidate the neural correlates involved in evaluating both content and peripheral cues encountered on an ENP forum. The ultimate goal of this research is to better understand information processing patterns in online forums and how these patterns produce more or less accurate filtering results."
article03,Helping an Old Workforce Interact with Modern IT: A NeuroIS Approach to Understanding Technostress and Technology Use in Older Workers,"Older workers (defined here as 60 years of age and over) are experiencing major problems using modern information technologies (IT). These problems include greater anxiety and more stress when using IT. The proliferation of interruptions mediated by IT is especially problematic for them. Thus, this research has four objectives: (1) to develop a research model explaining which broad-spectrum cognitive mechanisms mediate the impact of age on stress in today’s interruption age, (2) to explain the importance of having interruptions appear at predictable locations on the screen so as to help older workers use IT with greater ease and efficacy, (3) to explain the importance of using calm interruptions (i.e., no animation or aural alert) to help older workers be less stressed and more productive members of the organizations they work for, and (4) to offer practical, concrete guidance regarding interruption design and organization to software engineers and managers."
article04,Mobile Multitasking Distraction: A Pilot Study with Intracranial Electroencephalography,Texting while walking is a widespreadand dangerous behaviour. Efforts are being put towards the development of mobile applications to refrain users from engaging in this behavior. The study of the neuropsychological mechanisms underlying this behavior will help developers aim specific cognitive processes. This study uses intracranial electroencephalography to increase our spatial understanding of the processes implicated in mobile multitasking. We asked a subject implanted with 128 electrodes to engage in a texting conversation while having to discriminate a point-light walker’s direction. We discuss our results and methodological learning from this pilot study.
article05,Impact of Cognitive Workload and Emotional Arousal on Performance in Cooperative and Competitive Interactions,"We examine whether changes in the social environment (competitiveor cooperative), affect the relationship between the internal state (cognitive workload and emotional arousal), and the performance in a given task. In a controlled experimental game setting, participants played cooperatively and competitively with different partners. EEG activity and heart rate changes measured cognitive workload and emotional arousal respectively. Cognitive workload was associated negatively with performance in the competitive but not the cooperative mode. By contrast, arousal was associated negatively with performance in the cooperative mode but not the competitive mode."
article06,It All Blurs Together: How the Effects of Habituation Generalize Across System Notifications and Security Warnings,"Habituation to security warnings the diminished response to a warning with repeated exposures is a well-recognized problem in information security. However, the scope of this problem may actually be much greater than previously thought because of the neurobiological phenomenon of generalization. Whereas habituation describes a diminished response with repetitions of the same stimulus, generalization occurs when habituation to one stimulus carries over to other novel stimuli that are similar in appearance. Because software user interface guidelines call for visual consistency, many notifications and warnings share a similar appearance. Unfortunately, generalization suggests that users may already be deeply habituated to a warning they have never seen before because of exposure to other notifications. In this work-in-progress study, we propose an eye tracking and fMRI experiment to examine how habituation to frequent software notifications generalizes to infrequent security warnings, and how security warnings can be designed to resist the effects of generalization."
article07,Combating the Influence of the Heuristic Thinking in Online Star Ratings: Preliminary Evidence,"Online reviews, often considered more credible and less biased than marketing information, have become an important aspect of making purchase decisions. Yet, online star ratings can be affected by reviewers’ heuristic evaluations, potentially leading to suboptimal purchase decisions. For example, star ratings may be biased due to the availability heuristic, i.e., users giving disproportionate weight to one—often negative—attribute. As research has demonstrated that even minor modifications of the presentation of options can have a large influence on people’s behavior, we test the effects of prior attribute rating on overall star rating. An experiment (n 1⁄4 56) conducted in the context of restaurant ratings showed that merely asking people first to rate individual attributes can significantly influence overall ratings. These findings can have important implications, as uncovering the effects specific design parameters of review forms have on people’s evaluation results will allow for reducing unintended biases in review form design."
article08,"Mobile BCI Technology: NeuroIS Goes Out of the Lab, into the Field","In the past years many NeuroIS studies have been published using different neuroimaging tools like electroencephalography (EEG) or functional magnetic resonance imaging (fMRI). In general most of the EEG studies have been performed in the lab, where participants are mounted with EEG sensors sitting in front of the computer and following the presented instructions. There are several mobile EEG systems on the market which could be used to investigate brain activity of human behaviour in the field, like during sports or social activities. In this paper we will present a novel system for EEG-based NeuroIS studies out of the lab, named mobile NeuroIS. The system consists of a wireless EEG system and a smartphone, serving as a monitor. Beside the system architecture we will present first evaluation data of three participants using it as mobile Brain-Computer Interface (BCI) application."
article09,Exploring the Mental Load Associated with Switching Smartphone Operating Systems,"The increasing importance of the smartphone industry has led many to debate which leading mobile platform, iOS or Android, is best. One of the central arguments is that perceived ease of use of the device should be the principle consideration. To measure this, one can reference Cognitive Load Theory and employ EEGs to register the mental load associated with completing common smartphone tasks such as making a call or navigating to a web page. The proposed study aims to evaluate the mental load associated with a set of tasks performed on a smartphone by a user who is unfamiliar with the operating system. It is our belief that this initial measure of mental load will act as a surrogate for which operating system embodies the idea of universal usability."
article10,Samsung Versus Apple: Smartphones and Their Conscious and Non-conscious Affective Impact,"Traditional market research used to focus on survey-based investigations. The first generation of Neuromarketing focused on Brain Imaging via functional Magnet Resonance Imaging (fMRI), which allowed for a true insight into brain activities with accurate localisation results. Finally, the new generation of Neuromarketing provides valuable information about implicit affective responses, which in combination with explicit responses are most useful for product evaluation and many further economic decisions. This study investigated various aspects of Samsung and Apple smartphones with respect to their conscious and unconscious affective impact in response to visual presentations. Besides various interesting discrepancies between conscious and unconscious affective responses, which demonstrate that mainly conscious cognitive differences exist between Apple and Samsung, an overall outcome is that male Samsung owners demonstrated most positive nonconscious affective processing levels regardless of which brand and version being exposed to."
