,title,abstract
article01,Circadian Rhythms and Social Media Information-Sharing,"Large amounts of information are shared through social media. Such communication assumes users are sufficiently aligned, not only in terms of their interests but also in terms of their emotional and cognitive states. It is not clear how this emotional and cognitive alignment is achieved for social media, given one-to-one interactions are infrequent and discussion often spans loosely connected individuals. This study argues that circadian rhythms play an important physiological role in aligning users for information-sharing, as information shared at different times of the day is likely to encounter users with common physiological states. Data are gathered from Twitter to examine patterns of sentiment and text complexity in social media, as well as how these patterns affect information-sharing. Results suggest the timing of a social media post, relative to collective patterns of sentiment and text complexity, is a better predictor of information-sharing than the sentiment and text complexity of the post itself. Put differently, information is more likely to be shared when it is posted at times of the day when other users are primed for emotion and concentration, independent of whether that posted information is itself emotional or demanding in concentration."
article02,Does a Social Media Abstinence Really Reduce Stress? A Research-in-Progress Study Using Salivary Biomarkers,"There is much scientific evidence in recent years indicating that our ‘always on’ culture powered by platforms such as Facebook, LinkedIn, Instagram, Twitter, and WhatsApp, is leading to negative health outcomes, particularly stress. To mitigate social media induced stress, people are being advised to abstain from using social media for a period of time. However, the effectiveness of such breaks is open to question. As many people are heavily dependent on social media, the inability to access these platforms for a period of time could actually create stress and anxiety. To determine if and how social media abstinence relates to stress, this project will investigate the role of passion as a mediating variable. Stress will be measured using a combination of the salivary biomarkers cortisol and alpha amylase, with psychological scales. Ultimately, this study aims to determine the boundary conditions under which an abstinence from social media use will either increase or decrease stress levels in working professionals."
article03,Multicommunicating During Team Meetings and Its Effects on Team Functioning,"This research-in-progress examines the phenomenon of multicommunicating during team meetings (Meeting MC). Drawing upon social interdependence theory, multilevel theorizing, and research on multitasking, we examine the positive and negative effects of Meeting MC on individual team members’ reactions, as well as on team processes and team outcomes. We propose a two-phase experimental approach to investigate the individual-level affective, cognitive, and behavioral responses in other team members, as well as the how these individual-level effects of Meeting MC spill over and affect team-level functioning and performance. This research advances our understanding of Meeting MC and how it affects individuals and groups. It also provides guidelines to managers and decision makers to leverage the beneficial aspects of Meeting MC while limiting and mitigating its detrimental effects."
article04,A Neuroimaging Study of How ICT-Enabled Interruptions Induce Mental Stress,"In modern society, information and communication technologies (ICTs) provide individuals with social connectivity and facilitate their task execution either in daily life or work. While ICTs bring about numerous benefits, the technologies can expose individuals to frequent interruptions which disrupt thinking processes and potentially cause mental stress. Even though Information Systems research has investigated the effect of interruptions on stress, the neural mechanism underlying how ICT-enabled interruptions induce individuals’ mental stress remains to be further revealed. Accordingly, this neuroimaging study aims to examine the neural activation associated with mental stress in response to ICT-enabled interruptions by means of functional magnetic resonance imaging (fMRI) and electroencephalography (EEG). Furthermore, this research distinguishes the neural activation patterns with regard to quantity and task relevancy of ICT-enabled interruptions."
article05,User Performance in the Face of IT Interruptions: The Role of Executive Functions,"Information systems (IS) research has studied the consequences of IT interruption on user performance. However, our knowledge thus far of the cognitive mechanisms involved in processing different interruption types is limited. In response to this research gap, the present research-in-progress paper proposes that IT intrusions (unnecessary interruptions) and IT interventions (relevant interruptions) impose different types of load on users’ cognitive resources. The study employs a self-regulation framework and borrows from the literature on executive functions (EFs), which are a set of general-purpose cognitive processes that control thought and actions. The moderating role of individuals’ differences in terms of three EF capabilities as well as the effect of EF loads on task performance are hypothesized. A three-factor (Interruption Frequency × Interruption Type × Executive Function Capability) mixed-design experiment using electroencephalography is proposed to test the generated hypotheses."
article06,Investigating the Role of Mind Wandering in Computer-Supported Collaborative Work: A Proposal for an EEG Study,"Mind wandering is a mental activity that allows us to easefully escape from current situations and tasks. Being the opposite of goal-directed thinking, existing research suggests that mind wandering is an important antecedent of creativity and innovation behavior. Moreover, there is initial evidence that technology characteristics may influence mind wandering. Despite a growing academic interest in mind wandering, there is only limited research that provides insights into the relationship between technology characteristics and mind wandering. We seek to address this research gap by proposing a research model that investigates whether technology supported collaborative work has an impact on the degree of mind wandering. In this research-in-progress paper, we describe the use of self-report measures and neurophysiological measures (specifically, Electroencephalography, EEG) to study mind wandering in an Information Systems research context. Ultimately, our research seeks to inform design science research in order to enhance creativity and innovation behavior."
article07,The Effect of Technology on Human Social Perception: A Multi-methods NeuroIS Pilot Investigation,"Effects of digital communication have been reported, but with only little physiological data backing. The purpose of this pilot study was to use a multi-methods approach to investigate in digital natives the effects of reading from a mobile device, listening to an audio recording and listening to an actual person present, who reads out loud. Self-reported pleasantness and arousal as conscious data, startle reflex modulation, skin conductance and heart rate as non-conscious data were recorded for each condition. The findings indicate that physiological arousal measures tend to match respective self-report measures both indicating higher arousal levels for social conditions. However, physiological valence measures do not match their corresponding self-report measures. Listening to an audio recording and listening to a real person reading were rated as more pleasant than reading alone. However, listening to a present person reading out loud resulted in the most negative subcortical raw affective responses in digital native’s brains."
article08,Intelligent Invocation: Towards Designing Context-Aware User Assistance Systems Based on Real-Time Eye Tracking Data Analysis,"Recently introduced virtual and augmented reality devices such as the HTC Vive Pro Eye or Microsoft’s HoloLens 2 come with integrated eye tracking technology. Eye tracking technology is thus closer to the consumer market than ever before. Should these systems make the leap into the end consumer market, possibilities also evolve to use the data to feed intelligent user assistance systems in real time. One application could be to detect phases in consumers’ decision making processes based on eye tracking data, which, in turn, can be used to offer context-aware assistance to consumers. By analyzing eye tracking data from an experiment in a virtual reality shopping environment, we test existing approaches to detect decision phases and evaluate their applicability for an intelligent invocation of real-time user assistance. Furthermore, we propose a new approach, called on-the-fly-detection, since we conclude that existing approaches are not suitable for real-time phase detection."
article09,Designing Self-presence in Immersive Virtual Reality to Improve Cognitive Performance—A Research Proposal,"With the increasing availability of immersive virtual reality (IVR) technologies, new opportunities to change individuals’ behavior become possible. Notably, recent research showed that by creating a full-body ownership illusion of a virtual avatar looking similar to Einstein, users’ cognitive performance can be enhanced. However, although research is quite consistent in reporting that visuomotor synchrony in IVR achieved with body tracking suffices to elicit body ownership illusions that change behavior, it is still unclear whether strengthening these visuomotor illusions with additional technological design elements, such as visuotactile feedback, can contribute to increase desired outcomes even more. In this research in progress paper, we aim to conduct a 2 (physical feedback: low vs. high) × 2 (avatar design: normal vs. high intelligence) between-subjects experiment in IVR to test this assumption. In addition to subjective measures, we use heart rate and electrodermal activity to assess the strength of self-presence induced through the illusions."
article10,Using fMRI to Measure Stimulus Generalization of Software Notification to Security Warnings,"This paper examines how habituation to frequent software notifications may carry over to infrequent security warnings. This general process—known as stimulus generalization or simply generalization—is a well-established phenomenon in neurobiology that has clear implications for information security. Because software user interface guidelines call for visual consistency, software notifications and security warnings have a similar look and feel. Consequently, through frequent exposure to notifications, people may become habituated to security warnings they have never seen before. The objective of this paper to propose an fMRI experimental design to measure the extent to which this occurs. We also propose testing security warning designs that are resistant to generalization of habituation effects."
